l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1300008,35,14,5,2.0,1778.6,0.03,0.21,N,F,2026-01-15,2026-01-15,2026-01-17,TAKE BACK RETURN,AIR,Delivered within January service window.
1300009,7,11,1,32.0,6800.64,0.06,0.21,N,O,2026-01-27,2026-01-27,2026-02-05,DELIVER IN PERSON,RAIL,Ocean-leg delivery extends beyond January close.
1300009,35,14,2,3.0,2667.9,0.06,0.21,N,O,2026-01-25,2026-01-25,2026-02-08,TAKE BACK RETURN,TRUCK,Customer requested deferred receipt into next month.
1300009,30,12,3,15.0,1404.0,0.02,0.21,N,F,2026-01-25,2026-01-25,2026-01-31,DELIVER IN PERSON,MAIL,Customer dock appointment confirmed before receipt.
1300009,18,6,4,9.0,6986.25,0.02,0.21,N,O,2026-01-28,2026-01-25,2026-02-04,DELIVER IN PERSON,AIR,Ocean-leg delivery extends beyond January close.
1300009,21,13,5,31.0,23498.62,0.05,0.21,N,F,2026-01-25,2026-01-26,2026-01-28,NONE,AIR,Delivered within January service window.
1300010,43,10,1,3.0,437.25,0.05,0.16,N,F,2026-01-06,2026-01-06,2026-01-13,TAKE BACK RETURN,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300010,11,16,2,13.0,9452.04,0.0,0.16,N,F,2026-01-05,2026-01-06,2026-01-08,NONE,AIR,Delivered within January service window.
1300010,2,5,3,2.0,658.22,0.05,0.16,N,F,2026-01-07,2026-01-05,2026-01-14,TAKE BACK RETURN,TRUCK,Delivered within January service window.
1300010,41,16,4,9.0,5515.65,0.06,0.16,N,F,2026-01-07,2026-01-07,2026-01-15,NONE,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300010,32,11,5,5.0,3537.15,0.03,0.16,N,F,2026-01-06,2026-01-06,2026-01-14,DELIVER IN PERSON,TRUCK,Packed for standard replenishment and received on schedule.
1300011,1,2,1,14.0,6702.64,0.08,0.21,N,O,2026-02-03,2026-02-04,2026-02-17,TAKE BACK RETURN,MAIL,Line remains in transit at January month-end.
1300011,42,16,2,9.0,4393.8,0.03,0.21,N,O,2026-02-04,2026-02-02,2026-02-18,NONE,RAIL,Receipt expected in early February after dispatch.
1300011,11,16,3,33.0,23993.64,0.06,0.21,N,O,2026-02-04,2026-02-03,2026-02-10,TAKE BACK RETURN,RAIL,Ocean-leg delivery extends beyond January close.
1300011,4,1,4,15.0,4668.15,0.06,0.21,N,O,2026-02-02,2026-02-02,2026-02-15,TAKE BACK RETURN,AIR,Line remains in transit at January month-end.
1300011,33,11,5,9.0,6807.96,0.0,0.21,N,O,2026-02-02,2026-02-01,2026-02-15,DELIVER IN PERSON,AIR,Receipt expected in early February after dispatch.
1300012,3,14,1,16.0,1252.0,0.05,0.18,N,F,2026-01-16,2026-01-17,2026-01-19,NONE,RAIL,Delivered within January service window.
1300012,23,9,2,7.0,2730.07,0.08,0.18,R,F,2026-01-17,2026-01-15,2026-01-23,TAKE BACK RETURN,AIR,Customer dock appointment confirmed before receipt.
1300012,22,5,3,3.0,561.78,0.02,0.18,N,F,2026-01-16,2026-01-17,2026-01-23,NONE,MAIL,Customer dock appointment confirmed before receipt.
1300012,7,14,4,27.0,5738.04,0.08,0.18,N,F,2026-01-17,2026-01-16,2026-01-22,DELIVER IN PERSON,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300012,39,11,5,17.0,13873.53,0.02,0.18,N,F,2026-01-17,2026-01-15,2026-01-19,DELIVER IN PERSON,TRUCK,Cross-border paperwork pre-cleared for timely receipt.
1300013,33,10,1,19.0,14372.36,0.03,0.21,N,O,2026-02-02,2026-01-31,2026-02-13,TAKE BACK RETURN,RAIL,Receipt expected in early February after dispatch.
1300013,24,8,2,3.0,1061.25,0.03,0.21,N,F,2026-02-03,2026-02-01,2026-01-31,TAKE BACK RETURN,MAIL,Cross-border paperwork pre-cleared for timely receipt.
1300013,20,2,3,18.0,12157.2,0.03,0.21,N,O,2026-01-31,2026-01-30,2026-02-07,NONE,AIR,Line remains in transit at January month-end.
1300013,40,4,4,3.0,2744.79,0.06,0.21,N,O,2026-02-03,2026-01-31,2026-02-12,DELIVER IN PERSON,SHIP,Receipt expected in early February after dispatch.
1300013,7,11,5,18.0,3825.36,0.03,0.21,N,O,2026-02-02,2026-02-02,2026-02-13,TAKE BACK RETURN,SHIP,Line remains in transit at January month-end.
1300014,2,5,1,4.0,1316.44,0.0,0.16,N,O,2026-01-29,2026-01-26,2026-02-05,NONE,SHIP,Ocean-leg delivery extends beyond January close.
1300014,17,5,2,14.0,5771.22,0.02,0.16,N,O,2026-01-26,2026-01-26,2026-02-05,TAKE BACK RETURN,AIR,Customer requested deferred receipt into next month.
1300014,26,6,3,9.0,3351.6,0.06,0.16,N,O,2026-01-29,2026-01-27,2026-02-06,TAKE BACK RETURN,RAIL,Line remains in transit at January month-end.
1300014,41,16,4,7.0,4289.95,0.06,0.16,N,O,2026-01-26,2026-01-27,2026-02-06,TAKE BACK RETURN,TRUCK,Ocean-leg delivery extends beyond January close.
1300014,38,2,5,21.0,1296.54,0.08,0.16,N,O,2026-01-28,2026-01-28,2026-02-09,TAKE BACK RETURN,RAIL,Ocean-leg delivery extends beyond January close.
1300015,38,2,1,12.0,740.88,0.06,0.14,N,O,2026-01-31,2026-01-28,2026-02-09,DELIVER IN PERSON,AIR,Line remains in transit at January month-end.
1300015,33,10,2,15.0,11346.6,0.05,0.14,N,F,2026-01-31,2026-01-28,2026-01-31,DELIVER IN PERSON,AIR,Delivered within January service window.
1300015,13,13,3,3.0,2700.87,0.06,0.14,N,O,2026-01-30,2026-01-31,2026-02-10,TAKE BACK RETURN,SHIP,Ocean-leg delivery extends beyond January close.
1300015,23,2,4,17.0,6630.17,0.03,0.14,N,O,2026-01-29,2026-01-29,2026-02-08,TAKE BACK RETURN,SHIP,Customer requested deferred receipt into next month.
1300015,18,14,5,15.0,11643.75,0.05,0.14,N,F,2026-01-28,2026-01-27,2026-01-31,DELIVER IN PERSON,TRUCK,Delivered within January service window.
1300016,21,13,1,30.0,22740.6,0.1,0.14,N,O,2026-01-29,2026-01-26,2026-02-12,NONE,MAIL,Customer requested deferred receipt into next month.
1300016,30,5,2,8.0,748.8,0.03,0.14,N,O,2026-01-27,2026-01-26,2026-02-07,NONE,SHIP,Line remains in transit at January month-end.
1300016,32,6,3,5.0,3537.15,0.08,0.14,N,O,2026-01-26,2026-01-26,2026-02-09,DELIVER IN PERSON,AIR,Line remains in transit at January month-end.
1300016,7,15,4,33.0,7013.16,0.08,0.14,N,O,2026-01-26,2026-01-26,2026-02-02,TAKE BACK RETURN,SHIP,Ocean-leg delivery extends beyond January close.
1300016,29,7,5,12.0,4703.88,0.03,0.14,N,O,2026-01-29,2026-01-27,2026-02-08,NONE,AIR,Line remains in transit at January month-end.
1300017,23,6,1,14.0,5460.14,0.06,0.21,N,F,2026-01-19,2026-01-17,2026-01-25,NONE,TRUCK,Cross-border paperwork pre-cleared for timely receipt.
1300017,7,15,2,31.0,6588.12,0.08,0.21,R,F,2026-01-18,2026-01-17,2026-01-23,TAKE BACK RETURN,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300017,38,8,3,10.0,617.4,0.0,0.21,N,F,2026-01-17,2026-01-17,2026-01-21,NONE,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300017,30,15,4,13.0,1216.8,0.05,0.21,N,F,2026-01-17,2026-01-18,2026-01-24,NONE,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300017,39,11,5,14.0,11425.26,0.02,0.21,N,F,2026-01-19,2026-01-16,2026-01-21,NONE,TRUCK,Packed for standard replenishment and received on schedule.
1300018,41,16,1,14.0,8579.9,0.0,0.16,N,O,2026-02-01,2026-01-29,2026-02-07,TAKE BACK RETURN,RAIL,Line remains in transit at January month-end.
1300018,11,3,2,19.0,13814.52,0.05,0.16,N,O,2026-02-01,2026-01-30,2026-02-12,TAKE BACK RETURN,TRUCK,Receipt expected in early February after dispatch.
1300018,38,8,3,16.0,987.84,0.03,0.16,N,O,2026-01-30,2026-01-30,2026-02-07,TAKE BACK RETURN,SHIP,Receipt expected in early February after dispatch.
1300018,7,11,4,20.0,4250.4,0.08,0.16,N,O,2026-01-29,2026-01-29,2026-02-09,DELIVER IN PERSON,MAIL,Ocean-leg delivery extends beyond January close.
1300018,8,7,5,11.0,10095.8,0.08,0.16,N,O,2026-01-31,2026-01-31,2026-02-13,TAKE BACK RETURN,RAIL,Line remains in transit at January month-end.
1300019,7,14,1,30.0,6375.6,0.05,0.18,A,F,2026-01-12,2026-01-13,2026-01-18,NONE,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300019,38,3,2,13.0,802.62,0.02,0.18,N,F,2026-01-13,2026-01-12,2026-01-19,DELIVER IN PERSON,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300019,23,2,3,9.0,3510.09,0.03,0.18,N,F,2026-01-12,2026-01-13,2026-01-15,DELIVER IN PERSON,SHIP,Packed for standard replenishment and received on schedule.
1300019,14,10,4,17.0,9121.52,0.06,0.18,N,F,2026-01-14,2026-01-13,2026-01-18,TAKE BACK RETURN,MAIL,Delivered within January service window.
1300019,11,3,5,22.0,15995.76,0.05,0.18,A,F,2026-01-13,2026-01-14,2026-01-17,NONE,MAIL,Delivered within January service window.
1300020,9,9,1,8.0,3736.32,0.03,0.14,N,F,2026-01-17,2026-01-15,2026-01-23,NONE,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300020,23,6,2,18.0,7020.18,0.05,0.14,R,F,2026-01-16,2026-01-16,2026-01-22,NONE,MAIL,Packed for standard replenishment and received on schedule.
1300020,38,8,3,12.0,740.88,0.02,0.14,N,F,2026-01-15,2026-01-14,2026-01-23,NONE,MAIL,Customer dock appointment confirmed before receipt.
1300020,30,15,4,7.0,655.2,0.05,0.14,N,F,2026-01-16,2026-01-17,2026-01-24,DELIVER IN PERSON,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300020,32,2,5,13.0,9196.59,0.05,0.14,R,F,2026-01-17,2026-01-17,2026-01-25,TAKE BACK RETURN,AIR,Delivered within January service window.
1300021,20,5,1,8.0,5403.2,0.0,0.18,N,F,2026-01-09,2026-01-10,2026-01-15,NONE,RAIL,Delivered within January service window.
1300021,6,12,2,9.0,1237.86,0.03,0.18,N,F,2026-01-12,2026-01-09,2026-01-14,TAKE BACK RETURN,MAIL,Delivered within January service window.
1300021,26,3,3,2.0,744.8,0.06,0.18,N,F,2026-01-09,2026-01-09,2026-01-12,TAKE BACK RETURN,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300021,27,12,4,3.0,1601.31,0.03,0.18,R,F,2026-01-11,2026-01-10,2026-01-13,TAKE BACK RETURN,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300021,18,15,5,15.0,11643.75,0.08,0.18,N,F,2026-01-09,2026-01-08,2026-01-15,TAKE BACK RETURN,SHIP,Packed for standard replenishment and received on schedule.
1300022,32,6,1,2.0,1414.86,0.03,0.18,N,F,2026-01-07,2026-01-07,2026-01-15,NONE,AIR,Packed for standard replenishment and received on schedule.
1300022,19,4,2,10.0,6324.6,0.02,0.18,N,F,2026-01-10,2026-01-10,2026-01-17,DELIVER IN PERSON,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300022,43,16,3,10.0,1457.5,0.0,0.18,N,F,2026-01-07,2026-01-07,2026-01-15,DELIVER IN PERSON,MAIL,Customer dock appointment confirmed before receipt.
1300022,21,1,4,23.0,17434.46,0.1,0.18,R,F,2026-01-09,2026-01-09,2026-01-11,TAKE BACK RETURN,RAIL,Packed for standard replenishment and received on schedule.
1300022,7,15,5,34.0,7225.68,0.06,0.18,A,F,2026-01-07,2026-01-07,2026-01-12,TAKE BACK RETURN,RAIL,Customer dock appointment confirmed before receipt.
1300023,37,2,1,20.0,5487.8,0.06,0.21,N,O,2026-02-02,2026-02-03,2026-02-08,TAKE BACK RETURN,MAIL,Customer requested deferred receipt into next month.
1300023,21,1,2,32.0,24256.64,0.06,0.21,N,O,2026-02-04,2026-02-02,2026-02-11,NONE,AIR,Customer requested deferred receipt into next month.
1300023,23,6,3,17.0,6630.17,0.03,0.21,N,O,2026-02-04,2026-02-04,2026-02-16,DELIVER IN PERSON,MAIL,Ocean-leg delivery extends beyond January close.
1300023,11,16,4,32.0,23266.56,0.1,0.21,N,O,2026-02-04,2026-02-04,2026-02-17,TAKE BACK RETURN,RAIL,Customer requested deferred receipt into next month.
1300023,4,1,5,18.0,5601.78,0.03,0.21,N,O,2026-02-04,2026-02-01,2026-02-11,TAKE BACK RETURN,SHIP,Receipt expected in early February after dispatch.
1300024,6,10,1,4.0,550.16,0.03,0.14,N,F,2026-01-13,2026-01-14,2026-01-20,NONE,TRUCK,Packed for standard replenishment and received on schedule.
1300024,30,12,2,2.0,187.2,0.08,0.14,N,F,2026-01-14,2026-01-13,2026-01-18,DELIVER IN PERSON,TRUCK,Delivered within January service window.
1300024,43,6,3,4.0,583.0,0.03,0.14,R,F,2026-01-15,2026-01-13,2026-01-20,DELIVER IN PERSON,SHIP,Delivered within January service window.
1300024,32,2,4,2.0,1414.86,0.03,0.14,N,F,2026-01-16,2026-01-15,2026-01-21,NONE,AIR,Packed for standard replenishment and received on schedule.
1300024,12,7,5,5.0,2680.1,0.05,0.14,A,F,2026-01-14,2026-01-15,2026-01-17,TAKE BACK RETURN,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300025,35,14,1,4.0,3557.2,0.0,0.16,A,F,2026-01-03,2026-01-04,2026-01-08,DELIVER IN PERSON,MAIL,Packed for standard replenishment and received on schedule.
1300025,6,10,2,12.0,1650.48,0.08,0.16,N,F,2026-01-06,2026-01-05,2026-01-12,NONE,RAIL,Delivered within January service window.
1300025,26,3,3,13.0,4841.2,0.05,0.16,N,F,2026-01-05,2026-01-05,2026-01-13,TAKE BACK RETURN,TRUCK,Cross-border paperwork pre-cleared for timely receipt.
1300025,19,4,4,6.0,3794.76,0.0,0.16,N,F,2026-01-05,2026-01-05,2026-01-09,NONE,TRUCK,Customer dock appointment confirmed before receipt.
1300025,1,2,5,6.0,2872.56,0.05,0.16,N,F,2026-01-06,2026-01-03,2026-01-10,DELIVER IN PERSON,MAIL,Packed for standard replenishment and received on schedule.
1300026,21,14,1,14.0,10612.28,0.02,0.18,R,F,2026-01-16,2026-01-15,2026-01-22,TAKE BACK RETURN,TRUCK,Customer dock appointment confirmed before receipt.
1300026,11,3,2,30.0,21812.4,0.08,0.18,N,F,2026-01-14,2026-01-14,2026-01-20,DELIVER IN PERSON,MAIL,Cross-border paperwork pre-cleared for timely receipt.
1300026,25,1,3,6.0,1372.86,0.05,0.18,N,F,2026-01-17,2026-01-16,2026-01-22,DELIVER IN PERSON,AIR,Delivered within January service window.
1300026,14,10,4,4.0,2146.24,0.03,0.18,N,F,2026-01-17,2026-01-17,2026-01-24,DELIVER IN PERSON,AIR,Delivered within January service window.
1300026,3,14,5,12.0,939.0,0.06,0.18,N,F,2026-01-16,2026-01-14,2026-01-18,TAKE BACK RETURN,MAIL,Cross-border paperwork pre-cleared for timely receipt.
1300027,33,10,1,14.0,10590.16,0.03,0.21,R,F,2026-01-20,2026-01-19,2026-01-26,TAKE BACK RETURN,RAIL,Packed for standard replenishment and received on schedule.
1300027,22,3,2,3.0,561.78,0.05,0.21,N,F,2026-01-19,2026-01-19,2026-01-27,DELIVER IN PERSON,AIR,Customer dock appointment confirmed before receipt.
1300027,16,7,3,7.0,4105.15,0.03,0.21,N,F,2026-01-19,2026-01-19,2026-01-23,TAKE BACK RETURN,AIR,Packed for standard replenishment and received on schedule.
1300027,40,5,4,9.0,8234.37,0.06,0.21,N,F,2026-01-21,2026-01-18,2026-01-27,DELIVER IN PERSON,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300027,43,6,5,15.0,2186.25,0.05,0.21,N,F,2026-01-18,2026-01-18,2026-01-20,NONE,RAIL,Packed for standard replenishment and received on schedule.
1300028,7,11,1,10.0,2125.2,0.08,0.14,N,F,2026-01-08,2026-01-08,2026-01-11,TAKE BACK RETURN,SHIP,Packed for standard replenishment and received on schedule.
1300028,5,12,2,17.0,3991.09,0.08,0.14,N,F,2026-01-08,2026-01-09,2026-01-14,DELIVER IN PERSON,MAIL,Delivered within January service window.
1300028,38,2,3,9.0,555.66,0.05,0.14,N,F,2026-01-08,2026-01-08,2026-01-13,DELIVER IN PERSON,TRUCK,Delivered within January service window.
1300028,34,15,4,17.0,10485.26,0.02,0.14,N,F,2026-01-08,2026-01-08,2026-01-16,TAKE BACK RETURN,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300028,21,14,5,19.0,14402.38,0.06,0.14,N,F,2026-01-10,2026-01-08,2026-01-17,NONE,RAIL,Customer dock appointment confirmed before receipt.
1300029,23,6,1,20.0,7800.2,0.05,0.21,N,F,2026-01-09,2026-01-07,2026-01-13,DELIVER IN PERSON,AIR,Delivered within January service window.
1300029,10,8,2,12.0,2843.4,0.05,0.21,N,F,2026-01-06,2026-01-07,2026-01-11,TAKE BACK RETURN,TRUCK,Delivered within January service window.
1300029,13,13,3,2.0,1800.58,0.02,0.21,N,F,2026-01-06,2026-01-05,2026-01-10,NONE,TRUCK,Customer dock appointment confirmed before receipt.
1300029,18,14,4,7.0,5433.75,0.06,0.21,N,F,2026-01-09,2026-01-06,2026-01-16,DELIVER IN PERSON,MAIL,Delivered within January service window.
1300029,16,3,5,9.0,5278.05,0.03,0.21,A,F,2026-01-08,2026-01-06,2026-01-12,TAKE BACK RETURN,AIR,Delivered within January service window.
1300030,17,4,1,19.0,7832.37,0.05,0.16,N,F,2026-01-24,2026-01-21,2026-01-31,TAKE BACK RETURN,TRUCK,Delivered within January service window.
1300030,32,2,2,6.0,4244.58,0.06,0.16,N,F,2026-01-21,2026-01-21,2026-01-26,NONE,TRUCK,Customer dock appointment confirmed before receipt.
1300030,2,11,3,4.0,1316.44,0.03,0.16,N,F,2026-01-22,2026-01-22,2026-01-24,NONE,MAIL,Packed for standard replenishment and received on schedule.
1300030,35,14,4,5.0,4446.5,0.05,0.16,N,F,2026-01-23,2026-01-21,2026-01-27,DELIVER IN PERSON,RAIL,Delivered within January service window.
1300030,13,7,5,5.0,4501.45,0.08,0.16,N,O,2026-01-24,2026-01-24,2026-02-01,DELIVER IN PERSON,TRUCK,Customer requested deferred receipt into next month.
1300031,18,15,1,14.0,10867.5,0.02,0.21,N,O,2026-01-28,2026-01-29,2026-02-03,TAKE BACK RETURN,SHIP,Line remains in transit at January month-end.
1300031,33,11,2,12.0,9077.28,0.05,0.21,N,O,2026-01-30,2026-01-28,2026-02-06,NONE,AIR,Line remains in transit at January month-end.
1300031,40,8,3,12.0,10979.16,0.05,0.21,N,O,2026-01-31,2026-01-29,2026-02-11,TAKE BACK RETURN,RAIL,Customer requested deferred receipt into next month.
1300031,2,5,4,5.0,1645.55,0.05,0.21,N,F,2026-01-30,2026-01-29,2026-01-31,DELIVER IN PERSON,MAIL,Delivered within January service window.
1300031,26,6,5,15.0,5586.0,0.05,0.21,N,O,2026-01-30,2026-01-29,2026-02-08,NONE,AIR,Line remains in transit at January month-end.
1300032,24,8,1,11.0,3891.25,0.05,0.14,N,F,2026-01-05,2026-01-06,2026-01-12,NONE,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300032,30,5,2,10.0,936.0,0.0,0.14,N,F,2026-01-05,2026-01-06,2026-01-08,TAKE BACK RETURN,TRUCK,Delivered within January service window.
1300032,7,15,3,29.0,6163.08,0.12,0.14,N,F,2026-01-05,2026-01-05,2026-01-09,TAKE BACK RETURN,SHIP,Packed for standard replenishment and received on schedule.
1300032,39,11,4,25.0,20402.25,0.05,0.14,R,F,2026-01-07,2026-01-07,2026-01-14,NONE,SHIP,Packed for standard replenishment and received on schedule.
1300032,38,8,5,31.0,1913.94,0.08,0.14,R,F,2026-01-05,2026-01-05,2026-01-11,DELIVER IN PERSON,RAIL,Customer dock appointment confirmed before receipt.
1300033,7,15,1,17.0,3612.84,0.0,0.21,N,F,2026-01-08,2026-01-06,2026-01-11,TAKE BACK RETURN,MAIL,Delivered within January service window.
1300033,16,7,2,15.0,8796.75,0.08,0.21,N,F,2026-01-06,2026-01-07,2026-01-14,NONE,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300033,40,5,3,5.0,4574.65,0.06,0.21,A,F,2026-01-06,2026-01-06,2026-01-08,DELIVER IN PERSON,AIR,Cross-border paperwork pre-cleared for timely receipt.
1300033,22,5,4,2.0,374.52,0.06,0.21,N,F,2026-01-08,2026-01-09,2026-01-14,NONE,MAIL,Delivered within January service window.
1300033,36,12,5,1.0,27.53,0.06,0.21,R,F,2026-01-07,2026-01-06,2026-01-13,TAKE BACK RETURN,AIR,Packed for standard replenishment and received on schedule.
1300034,17,5,1,6.0,2473.38,0.03,0.14,N,O,2026-01-27,2026-01-27,2026-02-09,NONE,TRUCK,Customer requested deferred receipt into next month.
