o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1200071,3,P,26235.44,2025-12-21,5-LOW,Clerk#000000170,0,Order aligned with distribution center refill.
1200072,4,O,67389.81,2025-12-29,2-HIGH,Clerk#000000268,0,Order aligned with distribution center refill.
1200073,2,P,10132.65,2025-12-19,5-LOW,Clerk#000000352,0,Order aligned with distribution center refill.
1200074,2,F,49222.89,2025-12-11,1-URGENT,Clerk#000000726,0,Split delivery approved by customer planning team.
1200075,17,P,15487.81,2025-12-22,5-LOW,Clerk#000000374,0,Split delivery approved by customer planning team.
1200076,8,O,29218.87,2025-12-30,1-URGENT,Clerk#000000133,0,Expedite only if stockout risk materializes.
1200077,11,F,48340.41,2025-12-02,5-LOW,Clerk#000000861,0,Routine replenishment for month-end demand.
1200078,7,P,32815.12,2025-12-21,4-NOT SPECIFIED,Clerk#000000208,0,Expedite only if stockout risk materializes.
1200079,5,O,35672.01,2025-12-27,1-URGENT,Clerk#000000193,0,Standard order created from forecast run.
1200080,19,O,23675.64,2025-12-26,4-NOT SPECIFIED,Clerk#000000512,0,Order aligned with distribution center refill.
1200081,14,P,14313.48,2025-12-22,3-MEDIUM,Clerk#000000115,0,Order aligned with distribution center refill.
1200082,14,F,57568.58,2025-12-04,4-NOT SPECIFIED,Clerk#000000821,0,Order aligned with distribution center refill.
1200083,8,P,69626.53,2025-12-24,4-NOT SPECIFIED,Clerk#000000747,0,Split delivery approved by customer planning team.
1200084,19,P,25662.89,2025-12-25,4-NOT SPECIFIED,Clerk#000000655,0,Routine replenishment for month-end demand.
1200085,16,F,71252.05,2025-12-14,5-LOW,Clerk#000000117,0,Routine replenishment for month-end demand.
1200086,14,P,16745.00,2025-12-20,3-MEDIUM,Clerk#000000407,0,Split delivery approved by customer planning team.
1200087,12,F,54464.05,2025-12-03,5-LOW,Clerk#000000337,0,Consolidated shipment requested for cost control.
1200088,13,P,35377.68,2025-12-17,3-MEDIUM,Clerk#000000068,0,Consolidated shipment requested for cost control.
1200089,1,P,15313.02,2025-12-23,5-LOW,Clerk#000000454,0,Split delivery approved by customer planning team.
1200090,16,P,31367.78,2025-12-23,5-LOW,Clerk#000000856,0,Order aligned with distribution center refill.
1200091,5,F,22053.59,2025-12-06,4-NOT SPECIFIED,Clerk#000000382,0,Consolidated shipment requested for cost control.
1200092,4,P,8424.92,2025-12-16,1-URGENT,Clerk#000000568,0,Routine replenishment for month-end demand.
1200093,17,P,46228.44,2025-12-15,4-NOT SPECIFIED,Clerk#000000391,0,Consolidated shipment requested for cost control.
1200094,17,P,44615.05,2025-12-16,3-MEDIUM,Clerk#000000486,0,Standard order created from forecast run.
1200095,10,P,40876.80,2025-12-17,3-MEDIUM,Clerk#000000406,0,Order aligned with distribution center refill.
1200096,20,P,40530.15,2025-12-25,4-NOT SPECIFIED,Clerk#000000370,0,Order aligned with distribution center refill.
1200097,7,F,27311.18,2025-12-13,3-MEDIUM,Clerk#000000046,0,Standard order created from forecast run.
1200098,12,F,27446.62,2025-12-09,4-NOT SPECIFIED,Clerk#000000310,0,Order aligned with distribution center refill.
1200099,15,P,14103.35,2025-12-21,2-HIGH,Clerk#000000944,0,Split delivery approved by customer planning team.
1200100,11,F,70892.60,2025-12-01,4-NOT SPECIFIED,Clerk#000000482,0,Expedite only if stockout risk materializes.
